Transaction Date,Invoice ID,Customer,Product,Quantity,Unit Price (GBP),Revenue (GBP),Cost (GBP),Gross Profit (GBP),Gross Margin %,Location / Region,Sales Rep,Payment Terms,Order Status,Delivery Date,Lead Time (Days)
2023-03-22,SO-11092,Apex Fluid Systems,Hydraulic Fittings,44,105.01,4620.28,2893.74,1726.54,37.37,Midlands,David Liang,Net 30,Completed,2023-04-09,18
2023-03-23,INV-10282,Apex Fluid Systems,Industrial Pumps,12,480.4,5764.77,3235.47,2529.3,43.88,Midlands,David Liang,Immediate,Completed,2023-04-03,11
2023-03-24,SO-11447,Apex Fluid Systems,Hydraulic Fittings,5,157.47,787.36,504.83,282.53,35.88,Midlands,David Liang,Net 60,Completed,2023-03-26,2
2023-03-27,SO-10303,Pacific Offshore GmbH,Seals & Gaskets,12,136.15,1633.82,830.71,803.11,49.16,Birmingham,Emma Thornton,Net 30,Completed,2023-04-07,11
2023-03-28,PO-11304,Northgate Engineering Ltd,Industrial Pumps,16,437.23,6995.61,4435.68,2559.93,36.59,North,Raj Patel,Net 30,Completed,2023-04-05,8
2023-03-28,INV-12011,Apex Fluid Systems,Industrial Pumps,25,588.04,14700.94,8845.22,5855.72,39.83,Midlands,Sarah Okonkwo,Net 30,Completed,2023-04-13,16
2023-03-28,PO-10743,Northgate Engineering Ltd,Industrial Pumps,75,566.14,42460.27,22120.71,20339.56,47.9,North,David Liang,Net 30,Refunded,2023-04-14,17
2023-03-28,INV-11010,Northgate Engineering Ltd,Industrial Pumps,62,489.38,30341.43,16437.74,13903.69,45.82,North,Raj Patel,Net 60,Completed,2023-04-07,10
2023-03-29,PO-10807,Northgate Engineering Ltd,Industrial Pumps,24,554.64,13311.25,8269.82,5041.43,37.87,North,Raj Patel,Net 30,Partially Returned,2023-04-18,20
2023-03-31,PO-11794,Northgate Engineering Ltd,Maintenance Kits,55,150.02,8251.22,5596.31,2654.91,32.18,North,Emma Thornton,Net 60,Completed,2023-04-01,1
2023-03-31,PO-11741,Meridian Process Group,Seals & Gaskets,27,133.47,3603.72,1767.43,1836.29,50.96,Cardiff,Claire Morrison,Net 30,Completed,2023-04-08,8
2023-03-31,INV-10266,TechCore Manufacturing,Hydraulic Fittings,13,128.31,1668.02,928.21,739.81,44.35,South,David Liang,Net 45,Completed,2023-04-09,9
2023-04-03,PO-10503,Apex Fluid Systems,Maintenance Kits,41,123.2,5051.26,3421.63,1629.63,32.26,Midlands,James Whitfield,Immediate,Completed,2023-04-21,18
2023-04-03,SO-11497,BritOil Downstream Services,Maintenance Kits,100,308.65,30864.89,21258.5,9606.39,31.12,Birmingham,Claire Morrison,Net 45,Partially Returned,2023-04-12,9
2023-04-04,PO-11292,Orion Subsea Ltd,Seals & Gaskets,10,105.97,1059.65,599.02,460.63,43.47,London,Raj Patel,Net 30,Completed,2023-04-16,12
2023-04-04,SO-11863,Orion Subsea Ltd,Seals & Gaskets,10,135.27,1352.68,809.95,542.73,40.12,Scotland,Sarah Okonkwo,Net 30,Completed,2023-04-18,14
2023-04-04,SO-10682,BritOil Downstream Services,Seals & Gaskets,23,114.05,2623.24,1396.82,1226.42,46.75,Scotland,Claire Morrison,Immediate,Completed,2023-04-08,4
2023-04-05,PO-10955,Northgate Engineering Ltd,Industrial Pumps,90,329.1,29619.02,18157.66,11461.36,38.7,Sheffield,Raj Patel,Net 30,Completed,2023-04-12,7
2023-04-07,INV-10510,Pacific Offshore GmbH,Maintenance Kits,22,255.65,5624.37,3845.69,1778.68,31.62,Germany,David Liang,Immediate,Completed,2023-04-08,1
2023-04-10,PO-10796,Apex Fluid Systems,Seals & Gaskets,38,111.06,4220.45,2436.37,1784.08,42.27,Midlands,David Liang,Net 45,Refunded,2023-04-28,18
2023-04-11,PO-11097,Pacific Offshore GmbH,Hydraulic Fittings,10,101.54,1015.4,623.2,392.2,38.63,Germany,Claire Morrison,Net 60,Completed,2023-04-19,8
2023-04-12,SO-11392,Apex Fluid Systems,Industrial Pumps,7,423.13,2961.94,1755.96,1205.98,40.72,Sheffield,Sarah Okonkwo,Net 60,Completed,2023-04-17,5
2023-04-12,SO-10365,Northgate Engineering Ltd,Compressor Units,103,2544.8,262114.62,172686.0,89428.62,34.12,Hamburg,Claire Morrison,Net 30,Partially Returned,2023-04-16,4
2023-04-13,SO-10199,Northgate Engineering Ltd,Hydraulic Fittings,73,43.81,3198.13,1778.31,1419.82,44.4,North,Sarah Okonkwo,Immediate,Completed,2023-04-19,6
2023-04-18,INV-10933,Apex Fluid Systems,Seals & Gaskets,6,115.54,693.25,408.53,284.72,41.07,Midlands,Claire Morrison,Net 30,Completed,2023-05-01,13
2023-04-18,PO-11775,BritOil Downstream Services,Seals & Gaskets,41,69.56,2852.02,1651.65,1200.37,42.09,Scotland,Claire Morrison,Net 30,Completed,2023-05-04,16
2023-04-19,SO-11088,Northgate Engineering Ltd,Maintenance Kits,103,345.94,35631.81,22995.47,12636.34,35.46,North,Sarah Okonkwo,Net 30,Completed,2023-05-08,19
2023-04-19,INV-10083,TechCore Manufacturing,Maintenance Kits,34,251.25,8542.65,5310.7,3231.95,37.83,South,James Whitfield,Net 30,Completed,2023-04-23,4
2023-04-20,INV-10383,Pacific Offshore GmbH,Industrial Pumps,19,728.51,13841.73,8141.77,5699.96,41.18,Germany,Raj Patel,Net 30,Completed,2023-04-25,5
2023-04-20,SO-11593,BritOil Downstream Services,Hydraulic Fittings,67,217.11,14546.44,9013.68,5532.76,38.04,Scotland,Emma Thornton,Net 45,Completed,2023-05-03,13
2023-04-21,INV-11298,TechCore Manufacturing,Maintenance Kits,32,262.89,8412.33,5626.39,2785.94,33.12,Birmingham,Claire Morrison,Immediate,Completed,2023-05-10,19
2023-04-25,PO-10636,Valor Industrial Partners,Seals & Gaskets,30,212.9,6386.89,3602.79,2784.1,43.59,North,Sarah Okonkwo,Net 30,Completed,2023-04-30,5
2023-04-25,PO-10841,Apex Fluid Systems,Maintenance Kits,31,275.79,8549.54,5792.46,2757.08,32.25,Cardiff,Emma Thornton,Net 30,Completed,2023-05-03,8
2023-04-26,INV-11063,Apex Fluid Systems,Industrial Pumps,15,468.64,7029.55,4410.46,2619.09,37.26,Midlands,Emma Thornton,Net 30,Completed,2023-05-08,12
2023-04-28,SO-11680,Orion Subsea Ltd,Seals & Gaskets,19,56.8,1079.16,627.94,451.22,41.81,Inverness,James Whitfield,Net 45,Completed,2023-05-16,18
2023-04-28,INV-10289,BritOil Downstream Services,Industrial Pumps,107,593.01,63451.89,35057.37,28394.52,44.75,Scotland,Emma Thornton,Net 60,Completed,2023-05-18,20
2023-05-01,SO-10547,Pacific Offshore GmbH,Maintenance Kits,7,276.83,1937.8,1080.42,857.38,44.25,Germany,David Liang,Net 60,Completed,2023-05-13,12
2023-05-01,SO-11551,Meridian Process Group,Industrial Pumps,24,659.35,15824.5,9255.05,6569.45,41.51,Wales,Emma Thornton,Net 30,Partially Returned,2023-05-03,2
2023-05-02,INV-10734,Apex Fluid Systems,Industrial Pumps,17,350.39,5956.62,3220.99,2735.63,45.93,Midlands,David Liang,Net 60,Completed,2023-05-09,7
2023-05-02,INV-10633,Northgate Engineering Ltd,Industrial Pumps,32,509.83,16314.6,9082.01,7232.59,44.33,North,David Liang,Immediate,Completed,2023-05-12,10
2023-05-02,SO-10134,BritOil Downstream Services,Compressor Units,92,1259.57,115880.7,71579.11,44301.59,38.23,Scotland,Raj Patel,Net 60,Completed,2023-05-12,10
2023-05-03,INV-11900,Northgate Engineering Ltd,Compressor Units,50,1532.78,76639.23,48858.54,27780.69,36.25,North,David Liang,Net 45,Completed,2023-05-23,20
2023-05-03,SO-11490,Northgate Engineering Ltd,Valve Assemblies,69,248.4,17139.29,10535.43,6603.86,38.53,North,David Liang,Net 30,Completed,2023-05-09,6
2023-05-04,SO-10531,Northgate Engineering Ltd,Seals & Gaskets,119,109.23,12998.33,13125.88,-127.55,-0.98,North,Sarah Okonkwo,Immediate,Completed,2023-05-07,3
2023-05-04,INV-10971,Northgate Engineering Ltd,Industrial Pumps,112,461.08,51640.9,27791.96,23848.94,46.18,North,James Whitfield,Net 45,Completed,2023-05-15,11
2023-05-04,PO-11748,Orion Subsea Ltd,Industrial Pumps,14,523.43,7328.06,7715.63,-387.57,-5.29,Scotland,Sarah Okonkwo,Net 60,Completed,2023-05-16,12
2023-05-05,PO-10222,Apex Fluid Systems,Hydraulic Fittings,25,52.1,1302.4,822.79,479.61,36.83,Midlands,Claire Morrison,Immediate,Completed,2023-05-23,18
2023-05-08,INV-10029,Northgate Engineering Ltd,Hydraulic Fittings,57,114.31,6515.65,3322.44,3193.21,49.01,North,David Liang,Immediate,Completed,2023-05-27,19
2023-05-10,PO-11873,BritOil Downstream Services,Valve Assemblies,102,378.62,38618.98,23421.89,15197.09,39.35,Birmingham,Claire Morrison,Net 45,Completed,2023-05-30,20
2023-05-10,SO-10102,Apex Fluid Systems,Industrial Pumps,10,685.82,6858.17,4063.97,2794.2,40.74,Midlands,Emma Thornton,Net 45,Completed,2023-05-23,13
2023-05-11,INV-10604,Northgate Engineering Ltd,Industrial Pumps,108,437.12,47208.66,24949.02,22259.64,47.15,Aberdeen,Sarah Okonkwo,Immediate,Completed,2023-05-19,8
2023-05-11,PO-10703,Northgate Engineering Ltd,Compressor Units,16,1856.84,29709.45,18827.79,10881.66,36.63,North,Raj Patel,Net 60,Completed,2023-05-14,3
2023-05-15,SO-11716,TechCore Manufacturing,Seals & Gaskets,38,198.37,7538.07,4415.03,3123.04,41.43,Aberdeen,Emma Thornton,Net 30,Completed,2023-05-27,12
2023-05-15,INV-10345,Northgate Engineering Ltd,Seals & Gaskets,95,91.69,8710.51,4429.21,4281.3,49.15,Inverness,Emma Thornton,Net 30,Completed,2023-05-18,3
2023-05-16,INV-10158,BritOil Downstream Services,Hydraulic Fittings,28,81.1,2270.85,1317.23,953.62,41.99,Scotland,Raj Patel,Net 60,Completed,2023-05-29,13
2023-05-18,SO-10575,Apex Fluid Systems,Industrial Pumps,21,648.88,13626.5,7934.95,5691.55,41.77,London,Claire Morrison,Immediate,Completed,2023-05-28,10
2023-05-18,PO-10710,Northgate Engineering Ltd,Compressor Units,49,1155.18,56604.0,35185.67,21418.33,37.84,North,Claire Morrison,Net 60,Completed,2023-06-06,19
2023-05-19,PO-10396,Apex Fluid Systems,Compressor Units,35,1653.56,57874.48,37224.8,20649.68,35.68,Midlands,Sarah Okonkwo,Net 45,Completed,2023-05-31,12
2023-05-19,INV-10405,BritOil Downstream Services,Valve Assemblies,42,319.06,13400.48,8736.23,4664.25,34.81,Scotland,David Liang,Immediate,Completed,2023-05-23,4
2023-05-23,INV-11859,Apex Fluid Systems,Industrial Pumps,25,451.73,11293.3,7012.5,4280.8,37.91,Inverness,James Whitfield,Immediate,Partially Returned,2023-06-12,20
2023-05-24,INV-11611,BritOil Downstream Services,Maintenance Kits,11,166.87,1835.57,1177.02,658.55,35.88,Inverness,Claire Morrison,Net 30,Completed,2023-05-26,2
2023-05-26,SO-10960,Pacific Offshore GmbH,Industrial Pumps,37,691.47,25584.23,13881.91,11702.32,45.74,Germany,James Whitfield,Net 30,Completed,2023-06-02,7
2023-05-26,PO-10486,Apex Fluid Systems,Seals & Gaskets,29,74.4,2157.57,1231.86,925.71,42.91,Midlands,Emma Thornton,Net 60,Completed,2023-06-07,12
2023-05-29,SO-11562,Pacific Offshore GmbH,Industrial Pumps,35,441.66,15458.22,9302.17,6156.05,39.82,Germany,Emma Thornton,Net 30,Completed,2023-06-05,7
2023-05-29,SO-10879,Apex Fluid Systems,Valve Assemblies,43,256.07,11011.04,7115.15,3895.89,35.38,Midlands,Sarah Okonkwo,Immediate,Completed,2023-06-01,3
2023-05-30,PO-11348,Meridian Process Group,Compressor Units,13,1651.67,21471.72,14814.24,6657.48,31.01,Wales,Raj Patel,Net 60,Completed,2023-06-09,10
2023-05-30,PO-10122,BritOil Downstream Services,Compressor Units,86,1452.25,124893.83,89863.26,35030.57,28.05,Birmingham,Emma Thornton,Net 60,Completed,2023-06-16,17
2023-06-01,SO-12074,TechCore Manufacturing,Maintenance Kits,43,180.66,7768.29,4665.31,3102.98,39.94,South,James Whitfield,Immediate,Completed,2023-06-06,5
